site,kind,ctgr,seq,upPpnCd,devKdCd,ppnCd,detail_url
uplusumobile,phone,LTE,362,H005,001,LPZ0019033,https://www.uplusumobile.com/product/pric/pricDetail?seq=362&upPpnCd=H005&devKdCd=001
uplusumobile,phone,LTE,531,H_DATA0GB,001,LPZ1004396,https://www.uplusumobile.com/product/pric/pricDetail?seq=531&upPpnCd=H_DATA0GB&devKdCd=001
uplusumobile,phone,5G,303,H016,001,LPZ0017819,https://www.uplusumobile.com/product/pric/pricDetail?seq=303&upPpnCd=H016&devKdCd=001
uplusumobile,phone,5G,288,H016,001,LPZ0017822,https://www.uplusumobile.com/product/pric/pricDetail?seq=288&upPpnCd=H016&devKdCd=001
uplusumobile,phone,5G,440,H024,001,LPZ0012200,https://www.uplusumobile.com/product/pric/pricDetail?seq=440&upPpnCd=H024&devKdCd=001
uplusumobile,phone,5G,439,H024,001,LPZ0012199,https://www.uplusumobile.com/product/pric/pricDetail?seq=439&upPpnCd=H024&devKdCd=001
uplusumobile,phone,5G,438,H024,001,LPZ0012206,https://www.uplusumobile.com/product/pric/pricDetail?seq=438&upPpnCd=H024&devKdCd=001
uplusumobile,phone,5G,437,H024,001,LPZ0012205,https://www.uplusumobile.com/product/pric/pricDetail?seq=437&upPpnCd=H024&devKdCd=001
uplusumobile,phone,5G,417,H015,001,LPZ0019741,https://www.uplusumobile.com/product/pric/pricDetail?seq=417&upPpnCd=H015&devKdCd=001
uplusumobile,phone,5G,534,H015,001,LPZ1004466,https://www.uplusumobile.com/product/pric/pricDetail?seq=534&upPpnCd=H015&devKdCd=001
uplusumobile,phone,5G,345,H015,001,LPZ0018649,https://www.uplusumobile.com/product/pric/pricDetail?seq=345&upPpnCd=H015&devKdCd=001
uplusumobile,phone,5G,346,H014,001,LPZ0018652,https://www.uplusumobile.com/product/pric/pricDetail?seq=346&upPpnCd=H014&devKdCd=001
uplusumobile,phone,5G,290,H015,001,LPZ0017830,https://www.uplusumobile.com/product/pric/pricDetail?seq=290&upPpnCd=H015&devKdCd=001
uplusumobile,phone,5G,291,H014,001,LPZ0017834,https://www.uplusumobile.com/product/pric/pricDetail?seq=291&upPpnCd=H014&devKdCd=001
uplusumobile,phone,5G,292,H013,001,LPZ0017817,https://www.uplusumobile.com/product/pric/pricDetail?seq=292&upPpnCd=H013&devKdCd=001
uplusumobile,phone,SPCL,548,H_DATAPLUS,001,LPZ1004786,https://www.uplusumobile.com/product/pric/pricDetail?seq=548&upPpnCd=H_DATAPLUS&devKdCd=001
uplusumobile,phone,SPCL,549,H_DATAPLUS,001,LPZ1004787,https://www.uplusumobile.com/product/pric/pricDetail?seq=549&upPpnCd=H_DATAPLUS&devKdCd=001
uplusumobile,phone,SPCL,527,TEENS_LTE,001,LPZ1004180,https://www.uplusumobile.com/product/pric/pricDetail?seq=527&upPpnCd=TEENS_LTE&devKdCd=001
uplusumobile,phone,SPCL,528,TEENS_LTE,001,LPZ1004181,https://www.uplusumobile.com/product/pric/pricDetail?seq=528&upPpnCd=TEENS_LTE&devKdCd=001
uplusumobile,phone,SPCL,529,TEENS_LTE,001,LPZ1004182,https://www.uplusumobile.com/product/pric/pricDetail?seq=529&upPpnCd=TEENS_LTE&devKdCd=001
uplusumobile,phone,SPCL,90,TEEN,001,LPZ0002255,https://www.uplusumobile.com/product/pric/pricDetail?seq=90&upPpnCd=TEEN&devKdCd=001
uplusumobile,phone,SPCL,16,H017,001,LPZ0001789,https://www.uplusumobile.com/product/pric/pricDetail?seq=16&upPpnCd=H017&devKdCd=001
uplusumobile,phone,SPCL,120,H017,001,LPZ0015032,https://www.uplusumobile.com/product/pric/pricDetail?seq=120&upPpnCd=H017&devKdCd=001
uplusumobile,phone,SPCL,121,H017,001,LPZ0015027,https://www.uplusumobile.com/product/pric/pricDetail?seq=121&upPpnCd=H017&devKdCd=001
uplusumobile,phone,SPCL,118,H017,001,LPZ0015034,https://www.uplusumobile.com/product/pric/pricDetail?seq=118&upPpnCd=H017&devKdCd=001
