site,kind,ctgr,seq,ctgrId,hpPpnSeq,hpPpnCd,upPpnCd,devKdCd,sbscTypCd2,sbscTypCd3,feeName,feeType,title,feature_vol,feature_limit,feature_supply,price_origin,price_discount,chips,speed_toplist,speed_data_guide,detail_url,list_url
uplusumobile,usim,SPCL,495,003,495,LPZ1000003,PAIKS_LTE,003,U,E,빽다방 100잔 (15GB+/통화기본),USIM/ESIM,빽다방 100잔 (15GB+/통화기본),15GB,기본제공,기본제공,49000,22400,커피100잔 제공,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=495&upPpnCd=PAIKS_LTE&devKdCd=003,
uplusumobile,usim,SPCL,496,003,496,LPZ1000007,PAIKS_LTE,003,U,E,빽다방 100잔 (7GB+/통화기본),USIM/ESIM,빽다방 100잔 (7GB+/통화기본),7GB,기본제공,기본제공,40000,17900,커피100잔 제공,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=496&upPpnCd=PAIKS_LTE&devKdCd=003,
uplusumobile,usim,SPCL,497,003,497,LPZ1000009,PAIKS_LTE,003,U,E,빽다방 100잔 (1GB+/통화기본),USIM/ESIM,빽다방 100잔 (1GB+/통화기본),1GB,기본제공,기본제공,26000,11400,커피100잔 제공,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=497&upPpnCd=PAIKS_LTE&devKdCd=003,
uplusumobile,usim,SPCL,498,003,498,LPZ1000010,PAIKS_5G,003,U,E,빽다방 100잔 5G (10GB/통화기본),USIM/ESIM,빽다방 100잔 5G (10GB/통화기본),10GB,기본제공,기본제공,36000,14000,커피100잔 제공,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=498&upPpnCd=PAIKS_5G&devKdCd=003,
uplusumobile,usim,SPCL,499,003,499,LPZ1000012,PAIKS_5G,003,U,E,빽다방 100잔 5G (5GB/통화기본),USIM/ESIM,빽다방 100잔 5G (5GB/통화기본),5GB,기본제공,기본제공,28000,12400,커피100잔 제공,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=499&upPpnCd=PAIKS_5G&devKdCd=003,
uplusumobile,usim,SPCL,521,003,521,LPZ1003942,KYOBO_LTE,003,U,E,교보문고 북 플러스알파 (100GB+/통화기본),USIM/ESIM,교보문고 북 플러스알파 (100GB+/통화기본),100GB,기본제공,기본제공,47510,39100,독서 영화 혜택제공,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=521&upPpnCd=KYOBO_LTE&devKdCd=003,
uplusumobile,usim,SPCL,522,003,522,LPZ1003955,KYOBO_LTE,003,U,E,교보문고 북 플러스알파 (71GB+/통화기본),USIM/ESIM,교보문고 북 플러스알파 (71GB+/통화기본),11GB+일2GB,기본제공,기본제공,49390,33500,독서 영화 혜택제공,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=522&upPpnCd=KYOBO_LTE&devKdCd=003,
uplusumobile,usim,SPCL,523,003,523,LPZ1003956,KYOBO_LTE,003,U,E,교보문고 북 플러스알파 (15GB+/통화기본),USIM/ESIM,교보문고 북 플러스알파 (15GB+/통화기본),15GB,기본제공,기본제공,49400,21900,독서 영화 혜택제공,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=523&upPpnCd=KYOBO_LTE&devKdCd=003,
uplusumobile,usim,SPCL,524,003,524,LPZ1003962,KYOBO_LTE,003,U,E,교보문고 북 플러스알파 (10GB+/통화기본),USIM/ESIM,교보문고 북 플러스알파 (10GB+/통화기본),10GB,기본제공,기본제공,42950,19900,독서 영화 혜택제공,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=524&upPpnCd=KYOBO_LTE&devKdCd=003,
uplusumobile,usim,SPCL,525,003,525,LPZ1003964,KYOBO_LTE,003,U,E,교보문고 북 플러스알파 (4.5GB+/통화기본),USIM/ESIM,교보문고 북 플러스알파 (4.5GB+/통화기본),4.5GB,기본제공,기본제공,36600,13900,독서 영화 혜택제공,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=525&upPpnCd=KYOBO_LTE&devKdCd=003,
uplusumobile,usim,SPCL,526,003,526,LPZ1003969,KYOBO_LTE,003,U,E,교보문고 북 플러스알파 (1GB+/통화기본),USIM/ESIM,교보문고 북 플러스알파 (1GB+/통화기본),1GB,기본제공,기본제공,26300,10900,독서 영화 혜택제공,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=526&upPpnCd=KYOBO_LTE&devKdCd=003,
uplusumobile,usim,SPCL,532,003,532,LPZ1004464,SelfCare,003,U,E,자급제폰케어 (100GB+/통화기본),USIM/ESIM,자급제폰케어 (100GB+/통화기본),100GB,기본제공,기본제공,47900,39490,24개월간 파손형 보험료 전액 지원,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=532&upPpnCd=SelfCare&devKdCd=003,
uplusumobile,usim,SPCL,315,003,315,LPZ0018238,SelfCare,003,U,E,자급제폰케어 (71GB+/통화기본),USIM/ESIM,자급제폰케어 (71GB+/통화기본),11GB+일2GB,기본제공,기본제공,49390,34300,24개월간 파손형 보험료 전액 지원,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=315&upPpnCd=SelfCare&devKdCd=003,
uplusumobile,usim,SPCL,316,003,316,LPZ0018235,SelfCare,003,U,E,자급제폰케어 (7GB+/통화기본),USIM/ESIM,자급제폰케어 (7GB+/통화기본),7GB,기본제공,기본제공,39800,17200,24개월간 파손형 보험료 전액 지원,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=316&upPpnCd=SelfCare&devKdCd=003,
uplusumobile,usim,SPCL,213,003,213,LPZ0016369,NPAY,003,U,E,10%적립 스페셜,USIM/ESIM,10%적립 스페셜,10GB+일2GB,기본제공,기본제공,,34900,N포인트적립,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=213&upPpnCd=NPAY&devKdCd=003,
